DatasetID,FileName,PID,URL,タイトル,巻次,シリーズ,版表示,著者,出版者,出版年,出版年(W3CDTF),ISBN,冊数（ページ数・大きさ）,NDC分類,NDC分類（第８版）,NDC分類（第９版）,NDLC分類,件名（NDLSH）,公開範囲
tosho_1880_rikei,827300_R0000009.json,827300,https://dl.ndl.go.jp/info:ndljp/pid/827300,小学用算術書,答3,,,"今井退蔵, 中野豊記 編||小室真咲 閲",松田周平,明15.5,1882,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826760_R0000068.json,826760,https://dl.ndl.go.jp/info:ndljp/pid/826760,算学自習便,代数学,,,鏡光照 著,鏡光照,明21.4,1888,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826760_R0000052.json,826760,https://dl.ndl.go.jp/info:ndljp/pid/826760,算学自習便,代数学,,,鏡光照 著,鏡光照,明21.4,1888,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826626_R0000153.json,826626,https://dl.ndl.go.jp/info:ndljp/pid/826626,簡易平算書,,,,谷田部梅吉 編,吉岡書籍店,明21.9,1888,,345p ; 20cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826626_R0000145.json,826626,https://dl.ndl.go.jp/info:ndljp/pid/826626,簡易平算書,,,,谷田部梅吉 編,吉岡書籍店,明21.9,1888,,345p ; 20cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826626_R0000123.json,826626,https://dl.ndl.go.jp/info:ndljp/pid/826626,簡易平算書,,,,谷田部梅吉 編,吉岡書籍店,明21.9,1888,,345p ; 20cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826626_R0000099.json,826626,https://dl.ndl.go.jp/info:ndljp/pid/826626,簡易平算書,,,,谷田部梅吉 編,吉岡書籍店,明21.9,1888,,345p ; 20cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826626_R0000038.json,826626,https://dl.ndl.go.jp/info:ndljp/pid/826626,簡易平算書,,,,谷田部梅吉 編,吉岡書籍店,明21.9,1888,,345p ; 20cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826626_R0000006.json,826626,https://dl.ndl.go.jp/info:ndljp/pid/826626,簡易平算書,,,,谷田部梅吉 編,吉岡書籍店,明21.9,1888,,345p ; 20cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,1084068_R0000087.json,1084068,https://dl.ndl.go.jp/info:ndljp/pid/1084068,寰瀛水路誌,第2卷,,第2版,嘉納謙作 譯纂,海軍水路部,1886.9,1886,,"729, 26p ; 21cm",558.7,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,834959_R0000029.json,834959,https://dl.ndl.go.jp/info:ndljp/pid/834959,内科要略,巻1,,,長谷川泰 編訳,島村利助[ほか],明13-17,1884,,,493,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828702_R0000082.json,828702,https://dl.ndl.go.jp/info:ndljp/pid/828702,初等幾何学教科書 : 平面幾何学,第1巻,,,菊池大麓 著,文部省編輯局,明22.1,1889,,340p ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827431_R0000015.json,827431,https://dl.ndl.go.jp/info:ndljp/pid/827431,尋常小学筆算教科書,[本編] ,,,村垣素行 編,岡村庄助,明20.6,1887,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827431_R0000055.json,827431,https://dl.ndl.go.jp/info:ndljp/pid/827431,尋常小学筆算教科書,[本編] ,,,村垣素行 編,岡村庄助,明20.6,1887,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827670_R0000031.json,827670,https://dl.ndl.go.jp/info:ndljp/pid/827670,筆算捷径,下,,,"吉村破疑六, 川島雄三郎 著",闡幽社,明13.5,1880,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827723_R0000021.json,827723,https://dl.ndl.go.jp/info:ndljp/pid/827723,筆算題叢,答式　巻１５,,,"山本正至, 田沢昌永 編",文林堂,明8-16,1883,,,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828668_R0000069.json,828668,https://dl.ndl.go.jp/info:ndljp/pid/828668,軸式円錐曲線法例題解式,,,,向井嘉一郎 著||川北朝鄰 閲,東京数理書院,明16.4,1883,,394p ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828668_R0000215.json,828668,https://dl.ndl.go.jp/info:ndljp/pid/828668,軸式円錐曲線法例題解式,,,,向井嘉一郎 著||川北朝鄰 閲,東京数理書院,明16.4,1883,,394p ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828673_R0000029.json,828673,https://dl.ndl.go.jp/info:ndljp/pid/828673,小学幾何初歩,上巻,,,山田昌邦 編||赤松則良 閲,修静館,明18.12,1885,,,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828702_R0000012.json,828702,https://dl.ndl.go.jp/info:ndljp/pid/828702,初等幾何学教科書 : 平面幾何学,第1巻,,,菊池大麓 著,文部省編輯局,明22.1,1889,,340p ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828702_R0000043.json,828702,https://dl.ndl.go.jp/info:ndljp/pid/828702,初等幾何学教科書 : 平面幾何学,第1巻,,,菊池大麓 著,文部省編輯局,明22.1,1889,,340p ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828702_R0000155.json,828702,https://dl.ndl.go.jp/info:ndljp/pid/828702,初等幾何学教科書 : 平面幾何学,第1巻,,,菊池大麓 著,文部省編輯局,明22.1,1889,,340p ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829190_R0000014.json,829190,https://dl.ndl.go.jp/info:ndljp/pid/829190,算法便覧,下巻,,,不川顕賢 著,算生学校,明22,1889,,,419,,,,,インターネット公開（保護期間満了）
